date,index,air
2014-12-31,0,299.9700012207031
2015-01-01,1,301.45001220703125
2015-01-02,2,301.20001220703125
2015-01-03,3,301.70001220703125
2015-01-04,4,300.6499938964844
2015-01-05,5,300.7200012207031
2015-01-06,6,300.91998291015625
2015-01-07,7,301.25
2015-01-08,8,301.52001953125
2015-01-09,9,301.07000732421875
2015-01-10,10,302.27001953125
2015-01-11,11,302.3999938964844
2015-01-12,12,302.3999938964844
2015-01-13,13,300.7799987792969
2015-01-14,14,301.0
2015-01-15,15,301.79998779296875
2015-01-16,16,301.3599853515625
2015-01-17,17,301.29998779296875
2015-01-18,18,301.6199951171875
2015-01-19,19,301.7200012207031
2015-01-20,20,300.1199951171875
2015-01-21,21,300.82000732421875
2015-01-22,22,300.75
2015-01-23,23,301.1499938964844
2015-01-24,24,301.2200012207031
2015-01-25,25,301.3999938964844
2015-01-26,26,302.33001708984375
2015-01-27,27,301.6099853515625
2015-01-28,28,301.2200012207031
2015-01-29,29,301.07000732421875
2015-01-30,30,301.3599853515625
2015-01-31,31,301.17999267578125
2015-02-01,32,300.7200012207031
2015-02-02,33,299.91998291015625
2015-02-03,34,300.02001953125
2015-02-04,35,300.5999755859375
2015-02-05,36,300.3999938964844
2015-02-06,37,301.67999267578125
2015-02-07,38,300.79998779296875
2015-02-08,39,301.2799987792969
2015-02-09,40,301.8999938964844
2015-02-10,41,301.33001708984375
2015-02-11,42,301.27001953125
2015-02-12,43,301.2200012207031
2015-02-13,44,301.58001708984375
2015-02-14,45,301.02001953125
2015-02-15,46,301.75
2015-02-16,47,300.4700012207031
2015-02-17,48,300.8999938964844
2015-02-18,49,300.8999938964844
2015-02-19,50,300.8499755859375
2015-02-20,51,301.29998779296875
2015-02-21,52,301.52001953125
2015-02-22,53,301.6199951171875
2015-02-23,54,301.3699951171875
2015-02-24,55,300.70001220703125
2015-02-25,56,301.83001708984375
2015-02-26,57,301.02001953125
2015-02-27,58,301.04998779296875
2015-02-28,59,300.8999938964844
2015-03-01,60,300.1499938964844
2015-03-02,61,301.0
2015-03-03,62,300.95001220703125
2015-03-04,63,301.58001708984375
2015-03-05,64,302.17999267578125
2015-03-06,65,301.5
2015-03-07,66,301.7799987792969
2015-03-08,67,301.52001953125
2015-03-09,68,301.8599853515625
2015-03-10,69,301.52001953125
2015-03-11,70,302.02001953125
2015-03-12,71,301.6199951171875
2015-03-13,72,301.67999267578125
2015-03-14,73,301.2200012207031
2015-03-15,74,301.6199951171875
2015-03-16,75,301.6199951171875
2015-03-17,76,301.29998779296875
2015-03-18,77,300.82000732421875
2015-03-19,78,301.17999267578125
2015-03-20,79,301.1499938964844
2015-03-21,80,300.82000732421875
2015-03-22,81,300.6199951171875
2015-03-23,82,301.17999267578125
2015-03-24,83,300.57000732421875
2015-03-25,84,301.41998291015625
2015-03-26,85,301.5
2015-03-27,86,301.20001220703125
2015-03-28,87,301.5
2015-03-29,88,301.75
2015-03-30,89,301.79998779296875
2015-03-31,90,301.3599853515625
2015-04-01,91,301.6099853515625
2015-04-02,92,301.83001708984375
2015-04-03,93,302.52001953125
2015-04-04,94,301.8900146484375
2015-04-05,95,301.8900146484375
2015-04-06,96,301.6099853515625
2015-04-07,97,301.79998779296875
2015-04-08,98,301.79998779296875
2015-04-09,99,301.67999267578125
2015-04-10,100,301.58001708984375
2015-04-11,101,301.25
2015-04-12,102,301.25
2015-04-13,103,301.4700012207031
2015-04-14,104,300.97998046875
2015-04-15,105,299.8800048828125
2015-04-16,106,300.5999755859375
2015-04-17,107,301.02001953125
2015-04-18,108,301.45001220703125
2015-04-19,109,301.79998779296875
2015-04-20,110,301.6199951171875
2015-04-21,111,301.6099853515625
2015-04-22,112,301.8599853515625
2015-04-23,113,302.1099853515625
2015-04-24,114,301.8999938964844
2015-04-25,115,301.3999938964844
2015-04-26,116,301.52001953125
2015-04-27,117,301.67999267578125
2015-04-28,118,301.41998291015625
2015-04-29,119,301.54998779296875
2015-04-30,120,301.5
2015-05-01,121,301.8599853515625
2015-05-02,122,301.1499938964844
2015-05-03,123,301.45001220703125
2015-05-04,124,301.3900146484375
2015-05-05,125,301.33001708984375
2015-05-06,126,300.82000732421875
2015-05-07,127,301.3900146484375
2015-05-08,128,300.4700012207031
2015-05-09,129,300.5999755859375
2015-05-10,130,301.67999267578125
2015-05-11,131,302.8599853515625
2015-05-12,132,302.8599853515625
2015-05-13,133,301.91998291015625
2015-05-14,134,301.8900146484375
2015-05-15,135,301.52001953125
2015-05-16,136,301.9700012207031
2015-05-17,137,302.04998779296875
2015-05-18,138,301.1199951171875
2015-05-19,139,301.07000732421875
2015-05-20,140,302.1499938964844
2015-05-21,141,301.22998046875
2015-05-22,142,301.6199951171875
2015-05-23,143,302.22998046875
2015-05-24,144,301.6499938964844
2015-05-25,145,301.4700012207031
2015-05-26,146,300.8999938964844
2015-05-27,147,301.3999938964844
2015-05-28,148,300.1499938964844
2015-05-29,149,300.52001953125
2015-05-30,150,300.04998779296875
2015-05-31,151,301.0
2015-06-01,152,301.2799987792969
2015-06-02,153,301.1199951171875
2015-06-03,154,301.1499938964844
2015-06-04,155,301.70001220703125
2015-06-05,156,301.45001220703125
2015-06-06,157,301.27001953125
2015-06-07,158,301.6099853515625
2015-06-08,159,301.8999938964844
2015-06-09,160,301.54998779296875
2015-06-10,161,301.2200012207031
2015-06-11,162,301.1199951171875
2015-06-12,163,300.79998779296875
2015-06-13,164,301.5
2015-06-14,165,300.70001220703125
2015-06-15,166,301.0999755859375
2015-06-16,167,301.7200012207031
