datetime,lat,lng,elev,variable,value
2020-11-25 22:00:00,14.783333333333333,-88.78333333333333,1079,air,298.15
2020-11-25 22:00:00,14.783333333333333,-88.78333333333333,1079,uwnd,-2.007474526544615
2020-11-25 22:00:00,14.783333333333333,-88.78333333333333,1079,vwnd,-0.4514620442318996
2020-11-25 22:00:00,-36.56666666666667,-72.01666666666667,148,air,296.15
2020-11-25 22:00:00,-36.56666666666667,-72.01666666666667,148,uwnd,4.588911141573376
2020-11-25 22:00:00,-36.56666666666667,-72.01666666666667,148,vwnd,0.6126704189760752
2020-11-25 22:00:00,-36.56666666666667,-72.01666666666667,148,press,101900.0
2020-11-25 22:00:00,-36.56666666666667,-72.01666666666667,148,rhum,31.047701273826352
2020-11-25 22:00:00,-36.56666666666667,-72.01666666666667,148,shum,5.3208217550816936e-05
2020-11-25 22:00:00,-53.0,-70.83333333333333,37,air,283.15
2020-11-25 22:00:00,-53.0,-70.83333333333333,37,uwnd,-2.082848132118242
2020-11-25 22:00:00,-53.0,-70.83333333333333,37,vwnd,11.646494271886631
2020-11-25 22:00:00,-53.0,-70.83333333333333,37,press,99600.0
2020-11-25 22:00:00,-53.0,-70.83333333333333,37,rhum,53.47800051898499
2020-11-25 22:00:00,-53.0,-70.83333333333333,37,shum,4.09813425147597e-05
2020-11-25 22:00:00,-45.56666666666667,-72.1,311,air,284.15
2020-11-25 22:00:00,-45.56666666666667,-72.1,311,press,101000.0
2020-11-25 22:00:00,-45.56666666666667,-72.1,311,rhum,57.72368567364272
2020-11-25 22:00:00,-45.56666666666667,-72.1,311,shum,4.663273190873918e-05
2020-11-25 22:00:00,-20.516666666666666,-70.16666666666667,52,air,292.15
2020-11-25 22:00:00,-20.516666666666666,-70.16666666666667,52,uwnd,-0.45279307219961784
2020-11-25 22:00:00,-20.516666666666666,-70.16666666666667,52,vwnd,2.53184658084492
2020-11-25 22:00:00,-20.516666666666666,-70.16666666666667,52,press,101200.0
2020-11-25 22:00:00,-20.516666666666666,-70.16666666666667,52,rhum,68.1601189929605
2020-11-25 22:00:00,-20.516666666666666,-70.16666666666667,52,shum,9.199567943192931e-05
2020-11-25 22:00:00,-33.36666666666667,-70.76666666666667,476,air,301.15
2020-11-25 22:00:00,-33.36666666666667,-70.76666666666667,476,uwnd,-4.533271086971263
2020-11-25 22:00:00,-33.36666666666667,-70.76666666666667,476,vwnd,-3.386348127385
2020-11-25 22:00:00,-33.36666666666667,-70.76666666666667,476,press,101500.0
2020-11-25 22:00:00,-33.36666666666667,-70.76666666666667,476,rhum,21.513795270276734
2020-11-25 22:00:00,-33.36666666666667,-70.76666666666667,476,shum,4.980158691549348e-05
2020-11-25 22:00:00,-23.416666666666668,-70.41666666666667,120,air,291.15
2020-11-25 22:00:00,-23.416666666666668,-70.41666666666667,120,uwnd,-3.7090399802492153
2020-11-25 22:00:00,-23.416666666666668,-70.41666666666667,120,vwnd,-2.7706484678604544
2020-11-25 22:00:00,-23.416666666666668,-70.41666666666667,120,press,101200.0
2020-11-25 22:00:00,-23.416666666666668,-70.41666666666667,120,rhum,67.95288009316705
2020-11-25 22:00:00,-23.416666666666668,-70.41666666666667,120,shum,8.614734026081631e-05
2020-11-25 22:00:00,-43.166666666666664,-71.85,318,air,283.15
2020-11-25 22:00:00,-43.166666666666664,-71.85,318,press,101500.0
2020-11-25 22:00:00,-43.166666666666664,-71.85,318,rhum,61.70784531978136
2020-11-25 22:00:00,-43.166666666666664,-71.85,318,shum,4.640300753954191e-05
2020-11-25 22:00:00,-37.38333333333333,-72.41666666666667,114,air,294.15
2020-11-25 22:00:00,-37.38333333333333,-72.41666666666667,114,uwnd,-2.4726933201661434
2020-11-25 22:00:00,-37.38333333333333,-72.41666666666667,114,vwnd,-1.847098978573636
2020-11-25 22:00:00,-37.38333333333333,-72.41666666666667,114,press,102000.0
2020-11-25 22:00:00,-37.38333333333333,-72.41666666666667,114,rhum,9.787970546358594
2020-11-25 22:00:00,-37.38333333333333,-72.41666666666667,114,shum,1.4834090467619673e-05
2020-11-25 22:00:00,-54.93333333333333,-67.63333333333334,27,air,279.15
2020-11-25 22:00:00,-54.93333333333333,-67.63333333333334,27,uwnd,0.0
2020-11-25 22:00:00,-54.93333333333333,-67.63333333333334,27,vwnd,2.05761316872428
2020-11-25 22:00:00,-54.93333333333333,-67.63333333333334,27,press,99300.0
2020-11-25 22:00:00,-54.93333333333333,-67.63333333333334,27,rhum,86.9690479885873
2020-11-25 22:00:00,-54.93333333333333,-67.63333333333334,27,shum,5.090497946988337e-05
2020-11-25 22:00:00,-34.96666666666667,-71.21666666666667,242,air,298.15
2020-11-25 22:00:00,-34.96666666666667,-71.21666666666667,242,uwnd,6.6284272044948755
2020-11-25 22:00:00,-34.96666666666667,-71.21666666666667,242,vwnd,0.884968382965442
2020-11-25 22:00:00,-34.96666666666667,-71.21666666666667,242,press,101600.0
2020-11-25 22:00:00,-34.96666666666667,-71.21666666666667,242,rhum,31.624949509785793
2020-11-25 22:00:00,-34.96666666666667,-71.21666666666667,242,shum,6.129134599734147e-05
2020-11-25 22:00:00,-36.766666666666666,-73.06666666666666,16,air,291.15
2020-11-25 22:00:00,-36.766666666666666,-73.06666666666666,16,uwnd,-7.176658009294178
2020-11-25 22:00:00,-36.766666666666666,-73.06666666666666,16,vwnd,2.834254380634608
2020-11-25 22:00:00,-36.766666666666666,-73.06666666666666,16,press,102100.0
2020-11-25 22:00:00,-36.766666666666666,-73.06666666666666,16,rhum,55.62192927643669
